Numeris,Vardas,Pavardė,Asmens_kodas,Aprasymas
1,Laimė,Nelaimė,47911128478,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
2,Simona,Šimonytė,47911128479,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
3,Žana,Dark,47911128480,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
4,Gabija,Kazlauskaitė,47911128481,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
5,Emilija,Stankevičiūtė,47911128482,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
6,Gabrielė,Jankauskaitė,47911128483,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
7,Kamilė,Petrauskaitė,47911128484,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
8,Ugnė,Vasiliauskaitė,47911128485,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
9,Austėja,Butkutė,47911128486,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
10,Ieva,Pociūtė,47911128487,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
11,Viktorija,Lukoševičiūtė,47911128488,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
12,Greta,Balčiūnaitė,47911128489,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
13,Urtė,Kavaliauskaitė,47911128490,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
14,Viltė,Nelaimė,47911128491,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
15,Karolina,Šimonytė,47911128492,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
16,Rugilė,Dark,47911128493,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
17,Miglė,Kazlauskaitė,47911128494,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
18,Evelina,Stankevičiūtė,47911128495,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
19,Goda,Jankauskaitė,47911128496,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
20,Augustė,Petrauskaitė,47911128497,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
21,Deimantė,Vasiliauskaitė,47911128498,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
22,Ema,Butkutė,47911128499,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
23,Saulė,Pociūtė,47911128500,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
24,Liepa,Lukoševičiūtė,47911128501,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
