Numeris,Vardas,Pavardė,Asmens_kodas,Aprasymas
1,Laimė,Nelaimė,47911128782,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
2,Simona,Šimonytė,47911128783,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
3,Žana,Dark,47911128784,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
4,Gabija,Kazlauskaitė,47911128785,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
5,Emilija,Stankevičiūtė,47911128786,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
6,Gabrielė,Jankauskaitė,47911128787,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
7,Kamilė,Petrauskaitė,47911128788,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
8,Ugnė,Vasiliauskaitė,47911128789,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
9,Austėja,Butkutė,47911128790,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
10,Ieva,Pociūtė,47911128791,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
11,Viktorija,Lukoševičiūtė,47911128792,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
12,Greta,Balčiūnaitė,47911128793,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
13,Urtė,Kavaliauskaitė,47911128794,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
14,Viltė,Nelaimė,47911128795,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
15,Karolina,Šimonytė,47911128796,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
16,Rugilė,Dark,47911128797,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
17,Miglė,Kazlauskaitė,47911128798,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
18,Evelina,Stankevičiūtė,47911128799,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
19,Goda,Jankauskaitė,47911128800,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
20,Augustė,Petrauskaitė,47911128801,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
21,Deimantė,Vasiliauskaitė,47911128802,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
22,Ema,Butkutė,47911128803,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
23,Saulė,Pociūtė,47911128804,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
24,Liepa,Lukoševičiūtė,47911128805,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
25,Paulina,Balčiūnaitė,47911128806,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
26,Aistė,Kavaliauskaitė,47911128807,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
27,Kotryna,Lukoševičiūtė,47911128808,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
28,Karina,Balčiūnaitė,47911128809,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
29,Agnė,Kavaliauskaitė,47911128810,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
30,Gustė,Nelaimė,47911128811,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
31,Gabija,Pavardė,47911128812,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
32,Emilija,Nelaimė,47911128813,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
33,Gabrielė,Šimonytė,47911128814,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
34,Kamilė,Dark,47911128815,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
35,Ugnė,Kazlauskaitė,47911128816,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
36,Austėja,Stankevičiūtė,47911128817,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
37,Ieva,Jankauskaitė,47911128818,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
38,Viktorija,Petrauskaitė,47911128819,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
39,Greta,Vasiliauskaitė,47911128820,"Ilgas ilgas kandidatės aprasymas, beveik atitinka reikalavimus, taigi pirmyn visi balsuoti!!!"
